Category,Subcategory,Title,Brand,Country,URL
Молочные продукты и яйца,Йогурт,Продукт йогуртный 1.2% пастеризованный с соком абрикоса Молочная Услада ст 95г,ТМ Услада,RU,https://contentservice.kz/product/4606779480409-kz-yogurt-ehrmann-uslada-abrikos-12-95gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Клубника Имуно Био Баланс п/бут 900г,ТМ Био Баланс,KZ,https://contentservice.kz/product/4870206413029-kz-yogurt-pitevoy-danone-bio-balans-immuno-complex-klubn-930ml-16-pb
Молочные продукты и яйца,Йогурт,Коктейль йогуртный 5.2% Ананасово-кокосовый сорбет Shake&Go Даниссимо ст 260г,ТМ Даниссимо,RU,https://contentservice.kz/product/4600605024461-kz-yogurt-kokteyl-danissimo-shakego-ananasovo-kokosovyy-sorbet-52-260gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С соком клубники Лёгкий Нежный Campina ст 95г,ТМ Campina,RU,https://contentservice.kz/product/4605627008024-kz-yogurt-campina-nezhnyy-legkiy-klubn-01-95gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% питьевой Клубника Danone п/бут 270г,ТМ Danone,KZ,https://contentservice.kz/product/4870206414156-kz-yogurt-pitevoy-danone-klubnika-25-270ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 5% Манго-семена чиа Epica ст 130г,ТМ Epica,RU,https://contentservice.kz/product/4606779762802-kz-yogurt-epica-nat-mangosemena-chia-5-130gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный с персиком и маракуйей Фруктовый Alpenland Ehrmann ст 320г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779667305-kz-produkt-yogurnyy-ehrmann-alpenland-alpiyskiy-vkus-pers-marak-03-320gr-stak
Молочные продукты и яйца,Йогурт,Десерт творожный 10% с малиной Эмиль ст 200г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005354585-kz-yogurt-emil-tvor-desert-s-malinoy-10-200gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 1.6% Малина-семена льна-киноа Bio Max п/бут 270г,ТМ Bio Max,RU,https://contentservice.kz/product/4690228036217-kz-bioyogurt-bio-max-malinasemena-lnakinoa-16-270gr-pb
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5% пастеризованный с персиком Сливочное лакомство Fruttis Campina ст 290г,ТМ Campina,RU,https://contentservice.kz/product/4605627006624-kz-yogurt-campina-fruttis-slivoch-lakomstvo-pers-5-290gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Гранат Имуно Био Баланс п/бут 900г,ТМ Био Баланс,KZ,https://contentservice.kz/product/4870206413012-kz-yogurt-pitevoy-danone-bio-balans-immuno-complex-granat-930ml-16-pb
